item,designacion,cantidad,modulo,tipo,material_o_norma,plano,tolerancia_general,ajustes,soldadura,encajes,acabado
331,"NBT90 · FIJO · Golilla Canal base +Y X95 (cabeza) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
332,"NBT90 · FIJO · Golilla Canal base +Y X95 (tuerca) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
333,"NBT90 · FIJO · Golilla M12 cilindro (X=204.5, Y=+90) Ø12",1,MÓVIL,CONTEXTO (no se fabrica),"ISO 7092 (DIN 433) — arandela plana, serie estrecha",—,"dureza 200 HV; Ø exterior modelado 20 mm","—","—","—","zincado ISO 4042"
334,"NBT90 · FIJO · Golilla M12 cilindro (X=204.5, Y=−90) Ø12",1,MÓVIL,CONTEXTO (no se fabrica),"ISO 7092 (DIN 433) — arandela plana, serie estrecha",—,"dureza 200 HV; Ø exterior modelado 20 mm","—","—","—","zincado ISO 4042"
335,"NBT90 · FIJO · Golilla M12 cilindro (X=258.5, Y=+90) Ø12",1,MÓVIL,CONTEXTO (no se fabrica),"ISO 7092 (DIN 433) — arandela plana, serie estrecha",—,"dureza 200 HV; Ø exterior modelado 20 mm","—","—","—","zincado ISO 4042"
336,"NBT90 · FIJO · Golilla M12 cilindro (X=258.5, Y=−90) Ø12",1,MÓVIL,CONTEXTO (no se fabrica),"ISO 7092 (DIN 433) — arandela plana, serie estrecha",—,"dureza 200 HV; Ø exterior modelado 20 mm","—","—","—","zincado ISO 4042"
337,"NBT90 · FIJO · NEUMÁTICA · Cilindro compacto con guías SMC MGPM80-10Z Ø80 × 10 — cuerpo 202×91.5×56.5",1,MÓVIL,CONTEXTO (no se fabrica),"SMC serie MGP — MGPM80-10Z, cilindro compacto con guías Ø80, carrera 10 mm, casquillo de deslizamiento, con imán",—,"roscas de montaje M12 × 1,75 (patrones MM 180 × 54 y NN 174 × 52); puertos Rc 3/8 (ISO 7-1)","—","—","—","—"
338,"NBT90 · FIJO · NEUMÁTICA · Golilla 1/4"" válvula↔soporte (X=303) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27) — AVISO: el modelo dibuja Ø16, 1.73 mm fuera de tabla",—,"acero al carbono","—","—","—","zincado ASTM F1941"
339,"NBT90 · FIJO · NEUMÁTICA · Golilla 1/4"" válvula↔soporte (X=335) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27) — AVISO: el modelo dibuja Ø16, 1.73 mm fuera de tabla",—,"acero al carbono","—","—","—","zincado ASTM F1941"
340,"NBT90 · FIJO · NEUMÁTICA · Perno hex 1/4-20 × 2-1/2"" válvula↔soporte",2,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 1/4-20 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
341,"NBT90 · FIJO · NEUMÁTICA · Racor codo giratorio 360° 1/4""",2,MÓVIL,CONTEXTO (no se fabrica),"Racor codo giratorio 360°, macho 1/4-18 NPT (ASME B1.20.1) — tubo 1/4"" OD · Hytrol 094.1406",—,"cuerpo de latón niquelado, pinza de acero inoxidable","—","—","—","—"
342,"NBT90 · FIJO · NEUMÁTICA · Racor codo giratorio 360° Rc3/8–1/4""",2,MÓVIL,CONTEXTO (no se fabrica),"Racor codo giratorio 360°, macho Rc 3/8 (ISO 7-1) — tubo 1/4"" OD · Hytrol 094.1406",—,"cuerpo de latón niquelado, pinza de acero inoxidable","—","—","—","—"
343,"NBT90 · FIJO · NEUMÁTICA · Silenciador 1/8"" NPT Ø18 (X=307)",1,MÓVIL,CONTEXTO (no se fabrica),"Silenciador de bronce sinterizado, rosca 1/8-27 NPT (ASME B1.20.1) · Hytrol 923.0059",—,"caudal libre ≥ 200 Nl/min","—","—","—","—"
344,"NBT90 · FIJO · NEUMÁTICA · Silenciador 1/8"" NPT Ø18 (X=331)",1,MÓVIL,CONTEXTO (no se fabrica),"Silenciador de bronce sinterizado, rosca 1/8-27 NPT (ASME B1.20.1) · Hytrol 923.0059",—,"caudal libre ≥ 200 Nl/min","—","—","—","—"
345,"NBT90 · FIJO · NEUMÁTICA · Tubería 1/4"" OD Ø7.94 — línea A",1,MÓVIL,CONTEXTO (no se fabrica),"Tubo de poliuretano 1/4"" OD × 0,160"" ID (6,35 × 4,06 mm) · Hytrol 094.1148",—,"PU 95 Sh A, presión de trabajo ≥ 10 bar a 20 °C","—","—","—","—"
346,"NBT90 · FIJO · NEUMÁTICA · Tubería 1/4"" OD Ø7.94 — línea B",1,MÓVIL,CONTEXTO (no se fabrica),"Tubo de poliuretano 1/4"" OD × 0,160"" ID (6,35 × 4,06 mm) · Hytrol 094.1148",—,"PU 95 Sh A, presión de trabajo ≥ 10 bar a 20 °C","—","—","—","—"
347,"NBT90 · FIJO · NEUMÁTICA · Válvula 4 vías monosolenoide 24 VDC 72×46×60",1,MÓVIL,CONTEXTO (no se fabrica),"Válvula 5/2 monoestable 24 V CC · Hytrol 094.10795",—,"equivalente comprable citado: SMC SY5120-5DZ-N7T (2 posiciones monosolenoide, 24 V CC, racor instantáneo 1/4"", rosca NPTF, conexión DIN, 0,1 W)","—","—","—","—"
348,"NBT90 · FIJO · Perno hex 1/4-20 × 1-1/4"" soporte de válvula",2,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 1/4-20 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
349,"NBT90 · FIJO · Perno hex 3/8-16 × 1"" de colisa",2,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
350,"NBT90 · FIJO · Perno hex 3/8-16 × 1"" de colisa",2,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
351,"NBT90 · FIJO · Perno hex 3/8-16 × 20.85 · Canal base -Y X32",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
352,"NBT90 · FIJO · Perno hex 3/8-16 × 20.85 · Canal base -Y X95",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
353,"NBT90 · FIJO · Perno hex 3/8-16 × 20.85 · Canal base +Y X32",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
354,"NBT90 · FIJO · Perno hex 3/8-16 × 20.85 · Canal base +Y X95",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
355,"NBT90 · FIJO · Perno hex M12 × 25 fijación del cilindro",4,MÓVIL,CONTEXTO (no se fabrica),"ISO 4017 (DIN 933) — tornillo de cabeza hexagonal M12, rosca total",—,"clase de resistencia 8.8 (ISO 898-1)","—","—","—","zincado electrolítico ISO 4042"
356,"NBT90 · FIJO · Placa colgante del canal 3/16"" con colisas 12.7×38.1",2,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.187"" conformada, galvanizada",—,"—","—","cordón en ángulo (filete) a=3.33 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U5-+Y tope/tope","—"
357,"NBT90 · FIJO · Side channel 6-1/2""×1-1/4"" 12 GA × 457.2",1,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.105"" conformada, galvanizada",—,"—","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
358,"NBT90 · FIJO · Side channel 6-1/2""×1-1/4"" 12 GA × 457.2",1,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.105"" conformada, galvanizada",—,"—","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
359,"NBT90 · FIJO · Soporte de válvula 3/16"" 52×98",1,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.187"", galvanizada",—,"—","—","—","—","—"
360,"NBT90 · FIJO · Tapa extremo canal base 12 GA 88×67",1,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.105"" conformada, galvanizada",—,"—","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=1.86 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U4-+Y-pos ranura/posicion · U4-+Y-paso ranura/paso","—"
361,"NBT90 · FIJO · Tapa extremo canal base 12 GA 88×67",1,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.105"" conformada, galvanizada",—,"—","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=1.86 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U4--Y-pos ranura/posicion · U4--Y-paso ranura/paso","—"
362,"NBT90 · FIJO · Tuerca hex 1/4-20 soporte de válvula",2,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.2 — tuerca hexagonal 1/4-20 UNC-2B",—,"SAE J995 grado 5","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
363,"NBT90 · FIJO · Tuerca hex 3/8-16 · Canal base -Y X32",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.2 — tuerca hexagonal 3/8-16 UNC-2B",—,"SAE J995 grado 5","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
364,"NBT90 · FIJO · Tuerca hex 3/8-16 · Canal base -Y X95",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.2 — tuerca hexagonal 3/8-16 UNC-2B",—,"SAE J995 grado 5","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
365,"NBT90 · FIJO · Tuerca hex 3/8-16 · Canal base +Y X32",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.2 — tuerca hexagonal 3/8-16 UNC-2B",—,"SAE J995 grado 5","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
366,"NBT90 · FIJO · Tuerca hex 3/8-16 · Canal base +Y X95",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.2 — tuerca hexagonal 3/8-16 UNC-2B",—,"SAE J995 grado 5","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
367,"NBT90 · FIJO · Tuerca hex 3/8-16 de colisa",2,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.2 — tuerca hexagonal 3/8-16 UNC-2B",—,"SAE J995 grado 5","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
368,"NBT90 · FIJO · Tuerca hex 3/8-16 de colisa",2,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.2 — tuerca hexagonal 3/8-16 UNC-2B",—,"SAE J995 grado 5","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
369,"NBT90 · MÓVIL · Anillo retención eje polea (Y=-144.5) Ø15.875",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B27.7 — anillo de retención exterior serie 5100, referencia 5100-062 (eje 0,625"")",—,"acero SAE 1060-1090, e = 0,035"" (0,89 mm)","—","—","—","fosfatado"
370,"NBT90 · MÓVIL · Anillo retención eje polea (Y=-152.4) Ø15.875",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B27.7 — anillo de retención exterior serie 5100, referencia 5100-062 (eje 0,625"")",—,"acero SAE 1060-1090, e = 0,035"" (0,89 mm)","—","—","—","fosfatado"
371,"NBT90 · MÓVIL · Anillo retención eje polea (Y=-76.2) Ø15.875",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B27.7 — anillo de retención exterior serie 5100, referencia 5100-062 (eje 0,625"")",—,"acero SAE 1060-1090, e = 0,035"" (0,89 mm)","—","—","—","fosfatado"
372,"NBT90 · MÓVIL · Anillo retención eje polea (Y=144.5) Ø15.875",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B27.7 — anillo de retención exterior serie 5100, referencia 5100-062 (eje 0,625"")",—,"acero SAE 1060-1090, e = 0,035"" (0,89 mm)","—","—","—","fosfatado"
373,"NBT90 · MÓVIL · Anillo retención eje polea (Y=152.4) Ø15.875",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B27.7 — anillo de retención exterior serie 5100, referencia 5100-062 (eje 0,625"")",—,"acero SAE 1060-1090, e = 0,035"" (0,89 mm)","—","—","—","fosfatado"
374,"NBT90 · MÓVIL · Anillo retención eje polea (Y=76.2) Ø15.875",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B27.7 — anillo de retención exterior serie 5100, referencia 5100-062 (eje 0,625"")",—,"acero SAE 1060-1090, e = 0,035"" (0,89 mm)","—","—","—","fosfatado"
375,"NBT90 · MÓVIL · Anillo retención interior DIN 472 Ø35",1,MÓVIL,CONTEXTO (no se fabrica),"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
376,"NBT90 · MÓVIL · Anillo retención interior DIN 472 Ø35",1,MÓVIL,CONTEXTO (no se fabrica),"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
377,"NBT90 · MÓVIL · Anillo retención interior DIN 472 Ø35",1,MÓVIL,CONTEXTO (no se fabrica),"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
378,"NBT90 · MÓVIL · Anillo retención interior DIN 472 Ø35",1,MÓVIL,CONTEXTO (no se fabrica),"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
379,"NBT90 · MÓVIL · Anillo retención interior DIN 472 Ø35",1,MÓVIL,CONTEXTO (no se fabrica),"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
380,"NBT90 · MÓVIL · Anillo retención interior DIN 472 Ø35",1,MÓVIL,CONTEXTO (no se fabrica),"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
381,"NBT90 · MÓVIL · Anillo retención interior DIN 472 Ø35",1,MÓVIL,CONTEXTO (no se fabrica),"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
382,"NBT90 · MÓVIL · Anillo retención interior DIN 472 Ø35",1,MÓVIL,CONTEXTO (no se fabrica),"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
383,"NBT90 · MÓVIL · Anillo retención interior DIN 472 Ø35",1,MÓVIL,CONTEXTO (no se fabrica),"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
384,"NBT90 · MÓVIL · Anillo retención interior DIN 472 Ø35",1,MÓVIL,CONTEXTO (no se fabrica),"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
385,"NBT90 · MÓVIL · Anillo retención interior DIN 472 Ø35",1,MÓVIL,CONTEXTO (no se fabrica),"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
386,"NBT90 · MÓVIL · Anillo retención interior DIN 472 Ø35",1,MÓVIL,CONTEXTO (no se fabrica),"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
387,"NBT90 · MÓVIL · Banda plana FLEXPROOF sin fin 1""×2.5 — serpentín L=3043.56",1,MÓVIL,CONTEXTO (no se fabrica),"Banda de transmisión sin fin de 1"" de ancho, empalme Flexproof · Hytrol 069.722xx",—,"poliéster/uretano, 2 telas, e = 2,5 mm; Ø mínimo de polea 1,0""","—","—","—","—"
388,"NBT90 · MÓVIL · Brazo de empuje de la horquilla 75×62×22",2,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.866"", galvanizada",—,"—","—","—","—","—"
389,"NBT90 · MÓVIL · Buje sin chaveta 20 mm ID × 45 mm OD",1,MÓVIL,CONTEXTO (no se fabrica),"Buje cónico sin chaveta 20 mm ID × 45 mm OD — Hytrol 099.128420",—,"fabricante elegido y citado: Fenner Drives Trantorque GT ref. 6202811 (d 20, D 45,0, L 22,2, par de apriete 170 N·m, par transmisible 290 N·m, Ø mínimo de cubo 55,7 mm)","—","—","—","zincado claro RoHS"
390,"NBT90 · MÓVIL · Cross angle 1-3/4""×1"" 12 GA × 215.9",1,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.105"", galvanizada",—,"—","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=1.86 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U3-+Y-a pasador/posicion · U3-+Y-b pasador/paso · U3-solape-+Y tope/tope","—"
391,"NBT90 · MÓVIL · Cross angle 1-3/4""×1"" 12 GA × 215.9",1,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.105"", galvanizada",—,"—","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=1.86 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U3--Y-a pasador/posicion · U3--Y-b pasador/paso · U3-solape--Y tope/tope","—"
392,"NBT90 · MÓVIL · Eje de rodillo Ø12.7/Ø8 × 378.04",1,MÓVIL,CONTEXTO (no se fabrica),"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
393,"NBT90 · MÓVIL · Eje de rodillo Ø12.7/Ø8 × 378.04",1,MÓVIL,CONTEXTO (no se fabrica),"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
394,"NBT90 · MÓVIL · Eje de rodillo Ø12.7/Ø8 × 378.04",1,MÓVIL,CONTEXTO (no se fabrica),"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
395,"NBT90 · MÓVIL · Eje de rodillo Ø12.7/Ø8 × 378.04",1,MÓVIL,CONTEXTO (no se fabrica),"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
396,"NBT90 · MÓVIL · Eje de rodillo Ø12.7/Ø8 × 378.04",1,MÓVIL,CONTEXTO (no se fabrica),"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
397,"NBT90 · MÓVIL · Eje de rodillo Ø12.7/Ø8 × 378.04",1,MÓVIL,CONTEXTO (no se fabrica),"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
398,"NBT90 · MÓVIL · Eje polea Ø5/8"" g6 × 68.4",1,MÓVIL,CONTEXTO (no se fabrica),"Acero SAE 1045 rectificado",—,"—","Ø15,875 (5/8"") g6 (carga ESTACIONARIA sobre el aro interior ⇒ deslizante)","—","—","—"
399,"NBT90 · MÓVIL · Eje polea Ø5/8"" g6 × 68.4",1,MÓVIL,CONTEXTO (no se fabrica),"Acero SAE 1045 rectificado",—,"—","Ø15,875 (5/8"") g6 (carga ESTACIONARIA sobre el aro interior ⇒ deslizante)","—","—","—"
400,"NBT90 · MÓVIL · Eje polea Ø5/8"" g6 × 68.4",1,MÓVIL,CONTEXTO (no se fabrica),"Acero SAE 1045 rectificado",—,"—","Ø15,875 (5/8"") g6 (carga ESTACIONARIA sobre el aro interior ⇒ deslizante)","—","—","—"
401,"NBT90 · MÓVIL · Eje polea Ø5/8"" g6 × 68.4",1,MÓVIL,CONTEXTO (no se fabrica),"Acero SAE 1045 rectificado",—,"—","Ø15,875 (5/8"") g6 (carga ESTACIONARIA sobre el aro interior ⇒ deslizante)","—","—","—"
402,"NBT90 · MÓVIL · Eje polea Ø5/8"" g6 × 68.4",1,MÓVIL,CONTEXTO (no se fabrica),"Acero SAE 1045 rectificado",—,"—","Ø15,875 (5/8"") g6 (carga ESTACIONARIA sobre el aro interior ⇒ deslizante)","—","—","—"
403,"NBT90 · MÓVIL · Eje polea Ø5/8"" g6 × 73.5",1,MÓVIL,CONTEXTO (no se fabrica),"Acero SAE 1045 rectificado",—,"—","Ø15,875 (5/8"") g6 (carga ESTACIONARIA sobre el aro interior ⇒ deslizante)","—","—","—"
404,"NBT90 · MÓVIL · Golilla 1/4"" anclaje de la horquilla (X=206.7, Y=+124.76) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
405,"NBT90 · MÓVIL · Golilla 1/4"" anclaje de la horquilla (X=206.7, Y=−124.76) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
406,"NBT90 · MÓVIL · Golilla 1/4"" anclaje de la horquilla (X=256.3, Y=+124.76) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
407,"NBT90 · MÓVIL · Golilla 1/4"" anclaje de la horquilla (X=256.3, Y=−124.76) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
408,"NBT90 · MÓVIL · Golilla 3/8"" bajo cabeza (+Y, X=134) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
409,"NBT90 · MÓVIL · Golilla 3/8"" bajo cabeza (+Y, X=162) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
410,"NBT90 · MÓVIL · Golilla 3/8"" bajo cabeza (−Y, X=134) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
411,"NBT90 · MÓVIL · Golilla 3/8"" bajo cabeza (−Y, X=162) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
412,"NBT90 · MÓVIL · Golilla Guarda Y-150 Z196 (cabeza) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
413,"NBT90 · MÓVIL · Golilla Guarda Y-150 Z196 (tuerca) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
414,"NBT90 · MÓVIL · Golilla Guarda Y-150 Z284 (cabeza) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
